path,kind,platforms,platform_assumptions,duplicate_of,references_moving_paths,needs_compat_test,keep,migration_action,validated_by
.agents/plugins/marketplace.json,adapter-specific,"codex,cursor",yes: Agent Plugins standard marketplace shape,".claude-plugin/marketplace.json (same catalog, 2 shapes)",no,yes,yes,change,make validate (jq empty on every *.json)
.claude-plugin/marketplace.json,adapter-specific,"claude-code,claude-desktop",yes: Claude marketplace schema,.agents/plugins/marketplace.json,no,yes,yes,change,make validate (jq empty on every *.json) + claude plugin validate . (CI plugin-validate) + scripts/check-doc-claims.sh (make validate; NOT in CI)
.claude-plugin/plugin.json,adapter-specific,"claude-code,claude-desktop","yes: statusLine, mcpServers, CLAUDE_PLUGIN_ROOT, skills[] paths","manifest cluster: .cursor-plugin/plugin.json, .codex-plugin/plugin.json",no,yes,yes,change,_contract/scripts/check-manifest-version-alignment.sh (CI manifest-version-alignment) + claude plugin validate . (CI plugin-validate) + scripts/check-doc-claims.sh (make validate; NOT in CI)
.claude/memory/MEMORY.md,documentation,claude-code,yes: Claude Code auto-memory dir,~/.claude/projects/<slug>/memory (session copy),no,no,yes,keep,NONE
.claude/memory/feedback-ci-yml-guard-hook.md,documentation,claude-code,yes: Claude Code auto-memory dir,~/.claude/projects/<slug>/memory (session copy),no,no,yes,keep,NONE
.claude/memory/feedback-github-mcp-check-exists.md,documentation,claude-code,yes: Claude Code auto-memory dir,~/.claude/projects/<slug>/memory (session copy),no,no,yes,keep,NONE
.claude/memory/feedback-json-manifest-edits.md,documentation,claude-code,yes: Claude Code auto-memory dir,~/.claude/projects/<slug>/memory (session copy),no,no,yes,keep,NONE
.claude/memory/feedback-macos-sed-insert.md,documentation,claude-code,yes: Claude Code auto-memory dir,~/.claude/projects/<slug>/memory (session copy),no,no,yes,keep,NONE
.claude/memory/feedback-skill-creator-required.md,documentation,claude-code,yes: Claude Code auto-memory dir,~/.claude/projects/<slug>/memory (session copy),no,no,yes,keep,NONE
.claude/memory/project-admin-merge-personal-repo.md,documentation,claude-code,yes: Claude Code auto-memory dir,~/.claude/projects/<slug>/memory (session copy),no,no,yes,keep,NONE
.claude/memory/reference-release-tag-alignment.md,documentation,claude-code,yes: Claude Code auto-memory dir,~/.claude/projects/<slug>/memory (session copy),no,no,yes,keep,NONE
.claude/rules/skill-frontmatter.md,adapter-specific,claude-code,yes: Claude 16-field SKILL.md contract,.cursor/rules/skill-frontmatter.mdc (near-identical prose),yes: 16-field skill contract,yes,yes,generate,NONE
.claude/skills/run-tamirs-superpowers/SKILL.md,canonical,claude-code,"yes: repo-local dev skill, Claude skill format",no,yes: 16-field skill contract,no,yes,change,scripts/validate-skill-frontmatter.py (CI validate-skills)
.claude/skills/run-tamirs-superpowers/smoke.sh,test,claude-code,yes: asserts Claude plugin layout,no,no,yes,yes,change,NONE
.codex-plugin/plugin.json,adapter-specific,codex,yes: Codex hooks field + mcpServers,manifest cluster,no,yes,yes,change,_contract/scripts/check-manifest-version-alignment.sh (CI manifest-version-alignment) + make validate (jq empty on every *.json) + scripts/check-doc-claims.sh (make validate; NOT in CI)
.codex-version,canonical,codex,yes: Codex CLI version pin,platform-targets.json codex.latest_known,no,yes,yes,change,NONE
.codex/config.toml,adapter-specific,codex,yes: Codex project_doc_max_bytes,no,no,no,yes,keep,NONE
.cursor-plugin/plugin.json,adapter-specific,cursor,yes: Cursor plugin manifest,manifest cluster,no,yes,yes,change,_contract/scripts/check-manifest-version-alignment.sh (CI manifest-version-alignment) + make validate (jq empty on every *.json) + scripts/check-doc-claims.sh (make validate; NOT in CI)
.cursor-version,canonical,cursor,yes: Cursor desktop/CLI/changelog pins,platform-targets.json cursor.* fields,no,yes,yes,change,NONE
.cursor/hooks.json,adapter-specific,cursor,yes: Cursor beforeShellExecution schema,no,no,no,yes,keep,make validate (jq empty on every *.json)
.cursor/hooks/warn-contributor-policy.sh,adapter-specific,cursor,yes: Cursor hook stdin/JSON protocol,no,no,yes,yes,change,NONE
.cursor/rules/commit-conventions.mdc,adapter-specific,cursor,yes: Cursor .mdc frontmatter (globs/alwaysApply),NO canonical source (cursor-only rule),no,yes,yes,generate,NONE
.cursor/rules/cross-platform-handoff.mdc,adapter-specific,cursor,yes: Cursor .mdc frontmatter (globs/alwaysApply),rules/dev/cross-platform-handoff.md,yes: platform-shaped worktree roots,yes,yes,generate,NONE
.cursor/rules/dev-files-workspace.mdc,adapter-specific,cursor,yes: Cursor .mdc frontmatter (globs/alwaysApply),rules/dev/dev-files-workspace.md,no,yes,yes,generate,NONE
.cursor/rules/git-worktree-agent-workflow.mdc,adapter-specific,cursor,yes: Cursor .mdc frontmatter (globs/alwaysApply),rules/dev/git-worktree-agent-workflow.md,yes: platform-shaped worktree roots,yes,yes,generate,NONE
.cursor/rules/hooks-guide.mdc,adapter-specific,cursor,yes: Cursor .mdc frontmatter (globs/alwaysApply),NO canonical source (cursor-only rule),no,yes,yes,generate,NONE
.cursor/rules/plugin-structure.mdc,adapter-specific,cursor,yes: Cursor .mdc frontmatter (globs/alwaysApply),NO canonical source (cursor-only rule),yes: 16-field skill contract,yes,yes,generate,NONE
.cursor/rules/plugin-version-bump.mdc,adapter-specific,cursor,yes: Cursor .mdc frontmatter (globs/alwaysApply),rules/dev/plugin-version-bump.md,no,yes,yes,generate,NONE
.cursor/rules/skill-frontmatter.mdc,adapter-specific,cursor,yes: Cursor .mdc frontmatter (globs/alwaysApply),.claude/rules/skill-frontmatter.md,yes: 16-field skill contract,yes,yes,generate,NONE
.cursor/rules/skill-quality-standards.mdc,adapter-specific,cursor,yes: Cursor .mdc frontmatter (globs/alwaysApply),rules/dev/skill-quality-standards.md,no,yes,yes,generate,NONE
.cursor/rules/skills-guide.mdc,adapter-specific,cursor,yes: Cursor .mdc frontmatter (globs/alwaysApply),NO canonical source (cursor-only rule),yes: 16-field skill contract,yes,yes,generate,NONE
.dev-files/README.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode",no,no,no,no,yes,keep,NONE
.github/ISSUE_TEMPLATE/agent_task.yml,documentation,none,no,skills/repo/_contract/templates/github/agent_task.yml.tmpl,no,no,yes,change,NONE
.github/ISSUE_TEMPLATE/bug_report.yml,documentation,none,no,no,no,no,yes,keep,NONE
.github/ISSUE_TEMPLATE/feature_request.yml,documentation,none,no,no,no,no,yes,keep,NONE
.github/dependabot.yml,canonical,none,no,_contract/templates/github/dependabot.yml.tmpl,no,no,yes,keep,NONE
.github/pull_request_template.md,documentation,none,no,_contract/fixtures/*/.github/pull_request_template.md,no,no,yes,keep,NONE
.github/workflows/ci.yml,test,none,yes: installs Claude Code CLI only; no codex/cursor/gemini/opencode job,_contract/templates/github/ci.yml.tmpl (fixture copy),no,yes,yes,change,GitHub Actions runs it (self-validating)
.github/workflows/release.yml,canonical,none,no,no,no,yes,yes,change,GitHub Actions runs it (self-validating)
.gitignore,canonical,"claude-code,claude-desktop,codex,cursor,opencode","yes: ignores .claude/.worktrees, .cursor/.worktrees, .codex/.worktrees",no,yes: platform-shaped worktree roots,yes,yes,change,NONE
.mcp.json,canonical,"claude-code,claude-desktop,codex,cursor","yes: ${CLAUDE_PLUGIN_ROOT} is a Claude-only env var, referenced by all 3 manifests",no,no,yes,yes,change,make validate (jq empty on every *.json) + claude plugin validate . (CI plugin-validate)
.opencode/agent/architecture-reviewer.md,generated,opencode,yes: OpenCode tools-object + provider-prefixed model,agents/architecture-reviewer.md (source of truth),no,yes,yes,generate,make opencode-agents-check (local only; NOT a CI job)
.opencode/agent/debugging-specialist.md,generated,opencode,yes: OpenCode tools-object + provider-prefixed model,agents/debugging-specialist.md (source of truth),no,yes,yes,generate,make opencode-agents-check (local only; NOT a CI job)
.opencode/agent/performance-reviewer.md,generated,opencode,yes: OpenCode tools-object + provider-prefixed model,agents/performance-reviewer.md (source of truth),no,yes,yes,generate,make opencode-agents-check (local only; NOT a CI job)
.opencode/agent/research-agent.md,generated,opencode,yes: OpenCode tools-object + provider-prefixed model,agents/research-agent.md (source of truth),no,yes,yes,generate,make opencode-agents-check (local only; NOT a CI job)
.opencode/agent/security-reviewer.md,generated,opencode,yes: OpenCode tools-object + provider-prefixed model,agents/security-reviewer.md (source of truth),no,yes,yes,generate,make opencode-agents-check (local only; NOT a CI job)
.opencode/agent/test-engineer.md,generated,opencode,yes: OpenCode tools-object + provider-prefixed model,agents/test-engineer.md (source of truth),no,yes,yes,generate,make opencode-agents-check (local only; NOT a CI job)
AGENTS.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode","yes: names four targets, 16-field skill rule, platform worktree roots",CLAUDE.md (overlapping contributor policy),yes: 16-field skill contract,yes,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI) + scripts/check-platform-targets.sh (make check-platform-targets / CI platform-targets co-change)
CHANGELOG.md,documentation,none,no,docs/CHANGELOG.md (pointer),yes: worktree paths in entries,no,yes,change,NONE
CLAUDE.md,adapter-specific,claude-code,"yes: Claude-only entrypoint, 16-field rule, skill-count table",AGENTS.md,yes: 16-field skill contract,yes,yes,change,scripts/check-doc-claims.sh (make validate; NOT in CI)
CODEOWNERS,canonical,none,no,_contract/fixtures/scaffold-gold/CODEOWNERS (identical),no,no,yes,keep,NONE
LICENSE,canonical,none,no,"fixtures scaffold-gold/LICENSE, scaffold-plugin-gold/LICENSE (identical)",no,no,yes,keep,NONE
Makefile,canonical,none,yes: targets named per current 4-target model,no,no,yes,yes,change,GitHub Actions runs it (self-validating)
README.md,documentation,"claude-code,claude-desktop,codex,cursor,opencode","yes: four-target framing, per-target badges",no,yes: worktree roots,yes,yes,change,scripts/check-platform-targets.sh (make check-platform-targets / CI platform-targets co-change) (target badges only; version badge unvalidated) + scripts/check-doc-claims.sh (make validate; NOT in CI)
SECURITY.md,documentation,none,no,no,no,no,yes,keep,NONE
agents/architecture-reviewer.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode","yes: Claude subagent frontmatter (tools: comma string, bare model alias)",.opencode/agent/architecture-reviewer.md (generated copy),no,yes,yes,change,make opencode-agents-check (local only; NOT a CI job)
agents/debugging-specialist.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode","yes: Claude subagent frontmatter (tools: comma string, bare model alias)",.opencode/agent/debugging-specialist.md (generated copy),no,yes,yes,change,make opencode-agents-check (local only; NOT a CI job)
agents/performance-reviewer.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode","yes: Claude subagent frontmatter (tools: comma string, bare model alias)",.opencode/agent/performance-reviewer.md (generated copy),no,yes,yes,change,make opencode-agents-check (local only; NOT a CI job)
agents/research-agent.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode","yes: Claude subagent frontmatter (tools: comma string, bare model alias)",.opencode/agent/research-agent.md (generated copy),no,yes,yes,change,make opencode-agents-check (local only; NOT a CI job)
agents/security-reviewer.md,canonical,"claude-code,claude-desktop,codex,cursor,opencode","yes: Claude subagent frontmatter (tools: comma string, bare model alias)",.opencode/agent/security-reviewer.md (generated copy),no,yes,yes,change,make opencode-agents-check (local only; NOT a CI job)
